Bundesland,Menschen
Baden-Württemberg,11280257
Bayern,13369393
Berlin,3755251
Brandenburg,2573135
Bremen,684864
Hamburg,1892122
Hessen,6391360
Mecklenburg-Vorpommern,1628378
Niedersachsen,8140242
Nordrhein-Westfalen,18139116
Rheinland-Pfalz,4159150
Saarland,992666
Sachsen,4086152
Sachsen-Anhalt,2186643
Schleswig-Holstein,2953270
Thüringen,2126846
Baden-Württemberg,"35747,85"
Bayern,"70541,58"
Berlin,"891,12"
Brandenburg,"29654,38"
Bremen,"419,61"
Hamburg,"755,09"
Hessen,"21115,62"
Mecklenburg-Vorpommern,"23294,9"
Niedersachsen,"47709,9"
Nordrhein-Westfalen,"34112,72"
Rheinland-Pfalz,"19857,97"
Saarland,"2571,52"
Sachsen,"18449,86"
Sachsen-Anhalt,"20467,2"
Schleswig-Holstein,"15804,3"
Thüringen,"16202,37"
Deutschland,"357595,99"
Baden-Württemberg,316
Bayern,190
Berlin,4214
Brandenburg,87
Bremen,1632
Hamburg,2506
Hessen,303
Mecklenburg-Vorpommern,70
Niedersachsen,171
Nordrhein-Westfalen,532
Rheinland-Pfalz,209
Saarland,386
Sachsen,221
Sachsen-Anhalt,107
Schleswig-Holstein,187
Thüringen,131
