Inbetriebnahmejahr;BruttoleistungDerEinheit<5000;BruttoleistungDerEinheit>=5000
1997;1016,0;0,0
2001;750,0;0,0
2002;750,0;0,0
2003;1000,0;0,0
2004;45969,63;6300,0
2005;61058,612;10294,685000000001
2006;70013,451;5000,0
2007;172349,347;15923,875
2008;215090,324;45081,812999999995
2009;698211,432;250629,39
2010;1376292,356;540721,492
2011;1512448,948;1272872,785
2012;1840115,346;1517292,466
2013;1029094,941;293027,02
2014;486701,612;209389,765
2015;384999,393;287634,924
2016;571243,944;293926,91
2017;431741,596;257631,66
2018;1021579,28;449685,65499999997
2019;1301720,081;379383,03
2020;1381848,089;856864,595
2021;1158884,455;1370805,55
2022;1428833,588;2127462,9390000002
2023;1923894,422;3353962,306
2024;2530819,432;5258493,49
2025;891215,16;1602252,4949999999
2099;1226771,717;6661792,46
